city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Casablanca,10,1,1,830000,72,https://www.avito.ma/fr/hay_chrifa/appartements/61292_Vente_Appt_à_Casablanca_Lekrimat_de_72_m²_55541304.htm,2024,1,72,2400,Hay Chrifa,apartment,1,1,1,0,0,1,0,0,1,0
Agadir,10,1,2,,,https://www.avito.ma/fr/hay_mohammadi/appartements/apparemment_neuf_à_vendre_63m²_55550378.htm,2024,2,63,,Hay Mohammadi,apartment,0,1,0,1,0,1,0,0,0,0
Casablanca,10,1,2,340000,62,https://www.avito.ma/fr/sidi_bernoussi/appartements/شقة_جميلة_جدا_بالطابق_التاني_اقامة_مدينتي__49623375.htm,2024,2,62,,Sidi Bernoussi,apartment,0,0,0,0,0,0,0,0,0,0
Meknès,10,2,3,,128,https://www.avito.ma/fr/ville_nouvelle/appartements/Appartement_duplex_128_m²_à_Meknès_55343333.htm,2024,3,128,,Ville Nouvelle,duplex/triplex,1,1,0,0,1,1,1,1,1,1
Bouskoura,10,2,3,1480000,114,https://www.avito.ma/fr/ville_verte/appartements/Appartement_haut_standing_à_vendre_à_Bouskoura_55624013.htm,2024,2,114,200,Ville verte,apartment,1,1,0,0,1,1,0,1,1,1
Laâyoune,10,1,2,,74,https://www.avito.ma/fr/laâyoune/appartements/شقة_74متر_محفظة_للبيع_بإقامة_الفوسفاط_55615480.htm,2024,2,74,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,2,3,1969789,176,https://www.avito.ma/fr/bourgogne/appartements/60520_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de__55539444.htm,2024,1,176,,Bourgogne,apartment,0,1,1,0,0,0,0,1,0,0
Salé,10,1,2,520000,90,https://www.avito.ma/fr/tabriquet/appartements/Appartement_à_vendre_68_m²_à_Salé_55237038.htm,2024,4,68,100,Tabriquet,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,10,2,3,900000,120,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_120_m²_choka_mafrocha__55587272.htm,2024,2,120,,Autre secteur,apartment,0,1,0,1,0,1,0,0,0,1
Casablanca,10,2,2,959600,83,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_83_m²_à_Ain_sebaa_55095262.htm,2024,4,83,,Ain Sebaa,apartment,1,1,0,1,1,1,0,1,1,0
Casablanca,10,2,2,1990000,119,https://www.avito.ma/fr/les_princesses/appartements/23653_Vente_Appt_à_Casablanca_Les_Princesses_de_11_54687984.htm,2024,,108,5000,Les Princesses,apartment,1,1,1,0,0,0,0,1,1,0
Casablanca,10,1,2,1100000,75,https://www.avito.ma/fr/maârif_extension/appartements/47776_Vente_Appt_à_Casablanca_Maarif_Extension_de__55223901.htm,2024,4,75,,Maârif Extension,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,2,3,1528805,140,https://www.avito.ma/fr/bourgogne/appartements/60522_Vente_Appt_à_Casablanca_Bourgogne__Anfa__de__55539446.htm,2024,2,140,,Bourgogne,apartment,0,1,1,0,0,0,0,0,0,0
