url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/sidi_bouzekri/appartements/Appartement_110m²_en_Vente_à_Meknès_52553240.htm,3,2,110,110,3,380000,,Meknès,Sidi Bouzekri,apartment,2024,11,avito,0,1,0,1,1,0,0,1,1,1
https://www.avito.ma/fr/racine/appartements/CMN_MA_1716___Appartement_à_vendre_à_Racine_55580837.htm,2,2,162,162,3,3100000,,Casablanca,Racine,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/palmier/appartements/CMN_MA_1546___Appartement_à_vendre_à_Palmier_55085087.htm,3,2,150,150,2,2500000,,Casablanca,Palmier,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/maamora/appartements/joli_appartement__plein_maamora_55834409.htm,2,2,121,111,2,1130000,250,Kénitra,Maamora,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/khouribga/appartements/_شقة_سفلية_حي_فتح_قرب_مقاطقة_5_55834411.htm,2,1,106,106,0,,,Khouribga,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/centre/appartements/Appartements_de_Luxe_à_Vendre_à_Tanger_55823572.htm,3,2,96,96,3,,,Tanger,Centre,apartment,2024,11,avito,1,1,0,1,0,1,1,1,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre__DE_92_M_MONICA_A__1250000_DH_55834428.htm,2,2,92,92,3,1250000,,Mohammedia,Autre secteur,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/triangle_d'or/appartements/CMN_AN_1628___Appartement_à_vendre_à_Triangle_d_or_55264687.htm,3,2,158,158,1,2550000,,Casablanca,Triangle d'Or,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/malabata/appartements/Appartement_à_vendre_102_m²_à_Tanger_55834431.htm,3,2,102,102,2,,,Tanger,Malabata,apartment,2024,11,avito,1,0,1,1,1,1,0,1,1,0
https://www.avito.ma/fr/wilaya/appartements/Appartement_à_vendre_171_m²_à_Tétouan_55728755.htm,3,2,171,168,4,1800000,150,Tétouan,Wilaya,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/bouskoura_centre/appartements/Appart_62m2_quartier_Perla_sortie_ville_verte_49962978.htm,2,2,62,62,3,632000,250,Bouskoura,Bouskoura centre,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/maamora/appartements/joli_appartement_à_maamora_55834444.htm,2,2,121,111,2,,250,Kénitra,Maamora,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_al_firdaous_55834454.htm,2,1,56,,3,45000,,Casablanca,Sidi Bernoussi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/appartements/Belle_appartement_de_luxe_au_meilleur_prix_55591617.htm,3,,77,77,1,693000,,Casablanca,Sidi Bernoussi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/agdal/appartements/RBA_AG_1095___Appartement_à_vendre_à_Agdal_55802172.htm,1,1,67,67,4,1500000,,Rabat,Agdal,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/appartement_à_vendre__55834464.htm,3,2,188,178,1,,,Casablanca,Quartier des Hôpitaux,apartment,2024,11,avito,1,0,0,1,1,0,0,1,0,1
https://www.avito.ma/fr/palmier/appartements/Studio_Neuf_59m2_2è_Clim_Garage_Palmier_55740690.htm,1,1,59,59,2,1240000,,Casablanca,Palmier,studio,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/route_ain_chkaf/appartements/شقة_للبيع_بحي_الراشيدية_2_53304702.htm,2,1,60,60,4,250000,,Fès,Route Ain Chkaf,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_moumen/appartements/Appart_à_vendre_56m²_à_Sidi_Moumen_Casablanca__55805284.htm,2,1,56,56,3,380000,,Casablanca,Sidi Moumen,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/val_fleuri/appartements/Appartement_en_vente_désistement_à_val_fleuri_55754791.htm,2,1,55,55,2,550000,150,Tanger,Val Fleuri,apartment,2024,11,avito,1,1,0,0,1,1,0,0,1,0
https://www.avito.ma/fr/les_princesses/appartements/Superbe_appartement_3Chs_agréables_Les_Princesses_55775170.htm,3,2,117,117,1,2000000,300,Casablanca,Les Princesses,apartment,2024,11,avito,1,0,1,1,1,1,0,1,1,0
https://www.avito.ma/fr/2_mars/appartements/Appartement_à_vendre_111_m²_à_Casablanca_55218668.htm,2,2,111,106,3,1400000,,Casablanca,2 Mars,apartment,2024,11,avito,1,1,0,0,1,0,0,1,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_83m²_à_vendre_à_H_Adil_Casablanca__42572319.htm,3,1,83,83,3,640000,60,Casablanca,Hay Mohammadi,apartment,2024,11,avito,0,0,0,0,0,0,0,1,0,0
https://www.avito.ma/fr/berrechid/appartements/شقة_فاخرة_للبيع_عندها_باب_مستقل__55834344.htm,3,2,97,97,0,555000,2,Berrechid,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement__65_m²_socoma__55631428.htm,3,1,65,65,0,530000,,Marrakech,Autre secteur,apartment,2024,11,avito,0,0,0,1,0,1,0,0,0,1
https://www.avito.ma/fr/guich_oudaya/appartements/appartement_duplex_à_vendre__55834354.htm,3,3,150,150,2,1160000,,Rabat,Guich Oudaya,duplex/triplex,2024,11,avito,0,0,1,0,0,0,0,1,1,0
https://www.avito.ma/fr/fnideq/appartements/Appartement_à_vendre_81_m²_à_Fnideq_55785544.htm,2,1,,81,3,780000,,Fnideq,Toute la ville,apartment,2024,11,avito,0,1,1,0,0,1,1,0,0,0
https://www.avito.ma/fr/bourgogne/appartements/Appartement_140m²_8ème_sans_vis_à_vis_à_Bourgogne_55381548.htm,2,1,140,140,8,1550000,,Casablanca,Bourgogne,apartment,2024,11,avito,1,1,0,0,1,1,0,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_Vendre_Tamesna__53715084.htm,3,0,,101,2,650000,,Rabat,Autre secteur,apartment,2024,11,avito,1,0,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_à_vendre_85_m²_à_Aïn_Sebaa_54707603.htm,2,2,,85,1,937000,,Casablanca,Ain Sebaa,duplex/triplex,2024,11,avito,1,1,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_Marina_Blanca_54401684.htm,2,2,,98,1,1600000,,Dar Bouazza,Toute la ville,apartment,2024,11,avito,0,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/route_d'amezmiz/appartements/villa_moderne_ref_0182_55174795.htm,5,6,2000,350,1,4800000,,Marrakech,Route d'Amezmiz,duplex/triplex,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_Duplex_à_vendre_154_m²_à_Casablanca_54390927.htm,4,2,174,154,2,1150000,,Casablanca,Hay Mohammadi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_79m_Proche_Casaneachor__55645218.htm,2,2,79,79,0,700000,,Casablanca,Sidi Maarouf,apartment,2024,11,avito,1,1,0,0,0,0,0,1,1,0
https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_à_Costa_mar_55735561.htm,2,2,,85,3,1700000,,Martil,Toute la ville,apartment,2024,11,avito,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/najmat_al_janoub/appartements/Appart_seul_escalier_163_m²_à_côté_Marjane_3_face__55003068.htm,3,2,,163,2,1180000,,El Jadida,Najmat Al Janoub,apartment,2024,11,avito,0,1,0,0,0,1,0,0,1,1
https://www.avito.ma/fr/hay_dakhla/appartements/appartement_à_vendre__55014645.htm,2,2,82,82,3,870000,,Agadir,Hay Dakhla,apartment,2024,11,avito,0,1,0,0,0,1,1,1,1,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_121_m²_à_Temara_49655081.htm,3,2,,121,3,1350000,,Temara,Centre Ville,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,0
https://www.avito.ma/fr/el_mansouria/appartements/Appart_à_vendre_68m²_avec_piscine_à_El_Mansouria_54240959.htm,2,1,68,68,3,680000,150,El Mansouria,Toute la ville,apartment,2024,11,avito,0,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/a_vendre_très_beau_appartement__tout_équipé__55834278.htm,2,2,86,86,2,550000,100,Rabat,Autre secteur,apartment,2024,11,avito,1,0,0,0,1,1,1,1,0,0
https://www.avito.ma/fr/oasis/appartements/Studio_neuf_à_vendre_à_Oasis_55232268.htm,1,1,,39,1,900000,,Casablanca,Oasis,studio,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/centre/appartements/Dublex_villa_340_m²_a_Ibn_badis_yakota_3_face__55572856.htm,6,3,340,340,2,,,El Jadida,Centre,duplex/triplex,2024,11,avito,0,0,0,0,0,1,0,0,1,0
https://www.avito.ma/fr/derb_ghallef/appartements/CMN_MA_1794___Appartement_à_vendre_à_Plateau_55765769.htm,3,2,137,137,1,2900000,,Casablanca,Derb Ghallef,apartment,2024,11,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/asilah/appartements/Appartement_à_vendre_74_m²_à_Asilah_54451286.htm,2,1,74,74,1,1050000,250,Urgent,Toute la ville,apartment,2024,11,avito,1,0,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/béni_mellal/appartements/Appartement_à_vendre_55583799.htm,3,2,126,106,3,660000,,Béni Mellal,Toute la ville,apartment,2024,11,avito,0,1,0,0,0,1,0,1,1,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_à_vendre_81_m²_à_Casablanca_55224497.htm,2,2,81,81,0,700000,,Casablanca,Hay Mohammadi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/centre_ville/appartements/شقة_سكنية_للبيع_ساروت_قرب_حي_الإداري_وسط_المدينة_55753160.htm,1,1,,50,4,170000,,Tanger,Centre ville,apartment,2024,11,avito,0,1,1,0,1,1,1,0,1,0
https://www.avito.ma/fr/agdal/appartements/Superbe_Appartement_2_Façades__55834292.htm,2,2,150,135,2,720000,,Fès,Agdal,apartment,2024,11,avito,0,1,0,0,0,1,0,1,1,1
https://www.avito.ma/fr/bourgogne/appartements/Appartement_132m²_7ème_sans_vis_à_vis_face_Lyautey_53925741.htm,3,2,132,120,,1450000,250,Casablanca,Bourgogne,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_de_99m²_à_vendre_Casablanca__55793468.htm,2,2,99,66,1,850000,,Casablanca,Sidi Maarouf,apartment,2024,11,avito,1,0,0,0,0,1,0,1,1,1
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_110_m²_à_Mohammedia_55747589.htm,2,2,120,110,1,1656000,500,Mohammedia,Centre Ville,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_à_vendre_50_m²_à_Casa_Sidi_Maarouf_55529426.htm,2,1,50,50,3,510000,50,Casablanca,Sidi Maarouf,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/bab_al_bahr/appartements/Bel_Appartement_à_vendre__Marina_de_Salé_53607610.htm,3,2,,240,0,3500000,,Salé,Bab Al Bahr,apartment,2024,11,avito,1,0,0,1,1,0,0,1,1,1
https://www.avito.ma/fr/guéliz/appartements/App__centre_66m²__bin_kchali__55115399.htm,2,1,66,66,2,630000,,Marrakech,Guéliz,apartment,2024,11,avito,0,1,0,1,0,1,0,0,0,1
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_F3__à_vendre__Hay_Mohammadi_Agadir___55801330.htm,2,1,63,,2,740000,,Agadir,Hay Mohammadi,apartment,2024,11,avito,1,0,0,0,0,1,1,1,1,0
https://www.avito.ma/fr/martil/appartements/شقق_بجودة_خيالية_للبيع_بمرتيل_55357250.htm,2,2,63,63,3,560000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_chmaou/appartements/شقة_للبيع_بسلا_55672595.htm,3,2,104,104,2,1000000,200,Salé,Hay Chmaou,apartment,2024,11,avito,1,1,0,1,1,0,0,1,1,0
https://www.avito.ma/fr/guéliz/appartements/Appartement_2_chambres_en_plein_centre_de_guéliz_55539762.htm,2,2,89,89,4,1350000,,Marrakech,Guéliz,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/asilah/appartements/شقق_للبيع_بمدينة_أصيلة__55127721.htm,2,2,76,76,1,,,Asilah,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/maârif_extension/appartements/CMN_MA_1781___Appartement_à_vendre_à_Maârif_55716228.htm,1,1,87,87,1,1250000,,Casablanca,Maârif Extension,apartment,2024,11,avito,0,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_à_vendre_106m²_5_min_à_Hay_Riad__55708529.htm,3,2,106,106,1,1680000,,Temara,Riad Oulad Mtaa,apartment,2024,11,avito,0,1,1,1,0,1,0,0,1,0
https://www.avito.ma/fr/souissi/appartements/Appartement_Rez_de_jardin_à_vendre_Souissi_Rabat_53746747.htm,2,2,134,80,0,3250000,,Rabat,Souissi,apartment,2024,11,avito,1,0,0,0,0,1,0,1,0,1
https://www.avito.ma/fr/centre/appartements/Appartement_de_prestige_résidence_balzac_43696790.htm,2,2,89,84,1,870000,,Kénitra,Centre,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/racine/appartements/CMN_AN_1124___Appartement_à_vendre_à_Racine_54561850.htm,3,3,130,130,4,2300000,,Casablanca,Racine,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/oulfa/appartements/Appartement_à_vendre_78_m²_à_Casa_lot_zoubir__55834161.htm,2,2,85,78,1,720000,100,Casablanca,Oulfa,apartment,2024,11,avito,0,0,1,1,0,0,0,0,0,1
https://www.avito.ma/fr/val_fleuri/appartements/TNG_TA_1077___Appartement_à_vendre_à_Val_Fleuri_55779540.htm,2,1,86,86,3,750000,,Tanger,Val Fleuri,apartment,2024,11,avito,0,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/martil/appartements/شقق_بجودة_عالية_للبيع_تتوفر_على__راج_55543144.htm,3,2,80,80,1,760000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
