url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Studio_neuf_51_m²_au_Boulevard_Anoual__54987518.htm,1,2,51,51,2,920000,,Casablanca,Quartier des Hôpitaux,studio,2024,11,avito,1,0,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/dher_ahjjam/appartements/Appartement_à_vendre_64_m²_à_Tanger_55824345.htm,2,1,64,64,1,350000,100,Tanger,Dher Ahjjam,apartment,2024,11,avito,0,0,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/guich_oudaya/appartements/Apt_2_façades_132_m_a_Vendre_Guich_Oudayas_55768246.htm,3,3,132,132,1,1980000,,Rabat,Guich Oudaya,apartment,2024,11,avito,0,1,1,1,0,1,0,0,0,0
https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement__86_m²_à_Bouskoura_Odyssia_49763194.htm,2,2,86,86,2,860000,250,Bouskoura,Bouskoura centre,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_à_vendre_96_m²_à_Bouznika_55714960.htm,3,2,120,96,2,720000,100,Urgent,Autre secteur,apartment,2024,11,avito,0,1,0,0,0,1,0,0,0,1
https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Studio_meublé_à_vendre__55809059.htm,1,1,,40,3,800000,,Casablanca,Quartier des Hôpitaux,studio,2024,11,avito,1,1,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/maarif/appartements/Studio_47m_Proche_Tramway_Ghandi__55564271.htm,1,1,47,47,3,860000,,Casablanca,Maarif,studio,2024,11,avito,1,1,0,1,1,0,0,1,1,0
https://www.avito.ma/fr/hay_hassani/appartements/شقق_رائعة_فيها_الدعم_قرب_ملعب_طنجة_وطريق_الرباط_55518304.htm,2,2,60,60,2,470000,,Tanger,Hay Hassani,apartment,2024,11,avito,1,1,0,0,1,0,0,1,0,0
https://www.avito.ma/fr/belvédère/appartements/Bel_Appartement_de_83_m²_près_de_Tachfine_Centre__55671116.htm,2,1,83,83,4,860000,300,Casablanca,Belvédère,apartment,2024,11,avito,1,1,0,0,1,1,0,0,1,1
https://www.avito.ma/fr/maârif_extension/appartements/CMN_MA_1781___Appartement_à_vendre_à_Maârif_55716228.htm,1,1,87,87,1,1250000,,Casablanca,Maârif Extension,apartment,2024,11,avito,0,1,0,0,0,0,0,1,0,1
