city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Agadir,11,2,2,,,https://www.avito.ma/fr/haut_founty/appartements/Appartement_à_vendre_81_m²_quartier_Haut_Founty_55638920.htm,2024,6,81,,Haut-Founty,apartment,0,0,0,0,0,0,0,0,0,0
Tanger,11,2,3,135000,101,https://www.avito.ma/fr/ahlane/appartements/Appartement_à_vendre_101_m²_à_Tanger_55775407.htm,2024,1,101,,Ahlane,apartment,1,1,0,1,0,1,0,0,0,0
Fès,11,2,2,540000,90,https://www.avito.ma/fr/autre_secteur/appartements/Bel_appartement__55760053.htm,2024,1,80,50,Autre secteur,apartment,1,1,1,1,0,1,1,1,1,1
Meknès,11,2,2,290000,58,https://www.avito.ma/fr/riad_toulal/appartements/Appartement_à_vendre_58_m²_à_Meknès_51420274.htm,2024,2,58,,Riad Toulal,apartment,1,1,1,1,0,1,0,1,1,1
El Jadida,11,1,2,520000,100,https://www.avito.ma/fr/al_boustane/appartements/Appartement_Rdc_dans_R_plus_2_54866045.htm,2024,0,78,,Al Boustane,apartment,0,0,0,0,0,1,0,0,0,0
Casablanca,11,3,3,1590000,160,https://www.avito.ma/fr/la_gironde/appartements/Appart_de_luxe_à_petit_prix_55675539.htm,2024,2,152,320,La Gironde,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,2,2,970000,,https://www.avito.ma/fr/roches_noires/appartements/Spacieux_appartement_avec_balcon_55171364.htm,2024,3,91,,Roches Noires,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,11,1,3,1600000,132,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_à_vendre_à_Val_Fleurie_55294484.htm,2024,5,132,,Val Fleuri,apartment,1,1,0,0,0,0,0,1,0,1
Casablanca,11,1,1,1080000,44,https://www.avito.ma/fr/riviera/appartements/_STUDIOS__à_vendre_44_m²_Oasis__54867487.htm,2024,1,44,,Riviera,studio,1,1,1,1,1,1,0,1,1,1
Dar Bouazza,11,2,2,1700000,,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_Marina_Blanca_54401684.htm,2024,1,98,,Toute la ville,apartment,0,1,1,1,1,1,0,1,1,1
Casablanca,11,1,2,400000,70,https://www.avito.ma/fr/sidi_bernoussi/appartements/شقة_مصلوحة_بحي_الازهر__54852190.htm,2024,0,70,,Sidi Bernoussi,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,11,2,1,700000,44,https://www.avito.ma/fr/guéliz/appartements/studio_à_vendre__53867068.htm,2024,2,44,100,Guéliz,duplex/triplex,1,1,0,1,1,1,1,1,1,1
Marrakech,11,2,2,750000,84,https://www.avito.ma/fr/allal_el_fassi/appartements/appartement_a_vendre__51716330.htm,2024,4,84,,Allal El Fassi,apartment,1,1,1,1,1,1,0,0,1,1
Marrakech,11,2,2,1600000,,https://www.avito.ma/fr/guéliz/appartements/Appartement_2_Chambres_Haut_Standing_À_Gueliz_55544393.htm,2024,4,75,,Guéliz,apartment,1,0,0,1,1,1,0,1,1,1
