url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/haut_founty/appartements/Appartement_à_vendre_81_m²_quartier_Haut_Founty_55638920.htm,2,2,,81,6,,,Agadir,Haut-Founty,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ahlane/appartements/Appartement_à_vendre_101_m²_à_Tanger_55775407.htm,3,2,101,101,1,135000,,Tanger,Ahlane,apartment,2024,11,avito,1,1,0,1,0,1,0,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Bel_appartement__55760053.htm,2,2,90,80,1,540000,50,Fès,Autre secteur,apartment,2024,11,avito,1,1,1,1,0,1,1,1,1,1
https://www.avito.ma/fr/riad_toulal/appartements/Appartement_à_vendre_58_m²_à_Meknès_51420274.htm,2,2,58,58,2,290000,,Meknès,Riad Toulal,apartment,2024,11,avito,1,1,1,1,0,1,0,1,1,1
https://www.avito.ma/fr/al_boustane/appartements/Appartement_Rdc_dans_R_plus_2_54866045.htm,2,1,100,78,0,520000,,El Jadida,Al Boustane,apartment,2024,11,avito,0,0,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/la_gironde/appartements/Appart_de_luxe_à_petit_prix_55675539.htm,3,3,160,152,2,1590000,320,Casablanca,La Gironde,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/roches_noires/appartements/Spacieux_appartement_avec_balcon_55171364.htm,2,2,,91,3,970000,,Casablanca,Roches Noires,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_à_vendre_à_Val_Fleurie_55294484.htm,3,1,132,132,5,1600000,,Casablanca,Val Fleuri,apartment,2024,11,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/riviera/appartements/_STUDIOS__à_vendre_44_m²_Oasis__54867487.htm,1,1,44,44,1,1080000,,Casablanca,Riviera,studio,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_à_Marina_Blanca_54401684.htm,2,2,,98,1,1700000,,Dar Bouazza,Toute la ville,apartment,2024,11,avito,0,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/sidi_bernoussi/appartements/شقة_مصلوحة_بحي_الازهر__54852190.htm,2,1,70,70,0,400000,,Casablanca,Sidi Bernoussi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/guéliz/appartements/studio_à_vendre__53867068.htm,1,2,44,44,2,700000,100,Marrakech,Guéliz,duplex/triplex,2024,11,avito,1,1,0,1,1,1,1,1,1,1
https://www.avito.ma/fr/allal_el_fassi/appartements/appartement_a_vendre__51716330.htm,2,2,84,84,4,750000,,Marrakech,Allal El Fassi,apartment,2024,11,avito,1,1,1,1,1,1,0,0,1,1
https://www.avito.ma/fr/guéliz/appartements/Appartement_2_Chambres_Haut_Standing_À_Gueliz_55544393.htm,2,2,,75,4,1600000,,Marrakech,Guéliz,apartment,2024,11,avito,1,0,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/centre/appartements/Bel_appartement_à_vendre__55598397.htm,3,3,230,200,0,1490000,250,Urgent,Centre,apartment,2024,11,avito,1,0,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/al_madina_aljadida/appartements/Apparemment___avndre__55392744.htm,2,1,67,67,2,600000,50,Casablanca,Al Madina Aljadida,apartment,2024,11,avito,0,0,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/tamaris/appartements/Appartement_à_vendre_65_m²_à_Playa_Blanca_tamaris_55070630.htm,2,2,65,65,1,,,Tamaris,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/oasis/appartements/Appartement_à_vendre_73_m²_à_Casablanca_55005240.htm,2,2,,73,2,1560000,,Casablanca,Oasis,apartment,2024,11,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/guéliz/appartements/Appartement_2_chambres_en_plein_centre_de_guéliz_55539762.htm,2,2,89,89,4,1350000,,Marrakech,Guéliz,apartment,2024,11,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/had_soualem/appartements/appartement__49938504.htm,3,2,143,140,2,650000,,Had Soualem,Toute la ville,apartment,2024,11,avito,0,1,0,0,0,1,0,0,1,1
https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_2_chambres_salon_résidence_sécurisée_55342080.htm,2,1,92,92,5,850000,,Marrakech,Allal El Fassi,apartment,2024,11,avito,1,1,0,1,1,0,0,1,1,1
https://www.avito.ma/fr/hay_salam/appartements/شقة_بحي_السلام_54577407.htm,2,1,62,62,3,550000,,Agadir,Hay Salam,apartment,2024,11,avito,1,1,0,1,1,1,0,1,1,0
https://www.avito.ma/fr/mimosas/appartements/Appartement_193_m²_à_Kénitra_55673021.htm,3,3,193,193,,1400000,,Kénitra,Mimosas,apartment,2024,11,avito,1,1,1,0,1,0,0,1,1,1
https://www.avito.ma/fr/sidi_bernoussi/appartements/joli_apparemment_65m2_à_Sidi_Bernoussi_55580106.htm,3,,65,65,3,585000,,Casablanca,Sidi Bernoussi,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/tanja_balia/appartements/jolie_appartement_tanja_balia__55743918.htm,2,1,72,72,4,680000,100,Tanger,Tanja Balia,apartment,2024,11,avito,1,0,0,0,0,1,0,0,1,0
https://www.avito.ma/fr/hivernage/appartements/Magnifique_appartement_spacieux_3_chambres_salons_55652645.htm,3,2,150,150,3,2400000,,Marrakech,Hivernage,apartment,2024,11,avito,1,1,0,1,1,1,1,1,1,0
https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_à_vendre_62_m²_à_Bouskoura_55775364.htm,2,1,,62,1,310000,,Bouskoura,Bouskoura centre,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/guéliz/appartements/appartement_3_chambres_avec_terrasses_55475699.htm,3,2,105,105,3,1380000,,Marrakech,Guéliz,apartment,2024,11,avito,1,1,0,1,1,0,0,1,1,1
https://www.avito.ma/fr/route_d'ourika/appartements/Rez_de_Jardin_2_chambres_sur_Prestigia__55740893.htm,2,2,77,77,0,2200000,,Marrakech,Route d'Ourika,apartment,2024,11,avito,0,0,0,1,1,1,1,1,1,1
https://www.avito.ma/fr/oasis/appartements/a_vendre_tres_joli_appart_à_oasis__55750506.htm,1,2,,93,3,1900000,,Casablanca,Oasis,apartment,2024,11,avito,0,1,1,1,1,0,0,1,1,0
https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_à_vendre_72_m²_à_Salé_55758988.htm,2,1,78,72,1,550000,,Salé,Hay Chmaou,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/issil/appartements/RAK_GU_1118___Appartement_à_vendre_à_Issil_55486494.htm,3,2,115,115,1,980000,,Marrakech,Issil,apartment,2024,11,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ittihad_arabi/appartements/Appartement_Bonne_affaire_à_vendre_132_m²__55519671.htm,2,1,132,132,3,940000,100,Temara,Ittihad Arabi,apartment,2024,11,avito,0,1,0,0,0,1,0,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_Vendre_Tamesna__53715084.htm,3,0,,101,2,650000,,Rabat,Autre secteur,apartment,2024,11,avito,1,0,0,0,0,1,0,0,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_à_vendre_85_m²_à_Aïn_Sebaa_54707603.htm,2,2,,85,1,937000,,Casablanca,Ain Sebaa,duplex/triplex,2024,11,avito,1,1,0,1,1,1,0,1,1,1
https://www.avito.ma/fr/franceville/appartements/Appartement_à_vendre_80_m²_à_Casablanca_55144722.htm,2,2,80,80,2,1478000,,Casablanca,Franceville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/mabrouka/appartements/BEL_APPARTEMENT_MEUBLÉ_A_VENDRE_A_MARRAKECH__55767029.htm,2,2,72,72,2,850000,,Marrakech,Mabrouka,apartment,2024,11,avito,0,0,1,1,0,1,1,0,1,0
https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_à_vendre_dans_un_excellent_emplacement_55536048.htm,2,1,64,64,0,400000,100,Marrakech,Route de Casablanca,apartment,2024,11,avito,0,1,1,1,1,1,0,0,1,0
https://www.avito.ma/fr/route_de_ceuta/appartements/Appartement_à_vendre_140_m²_à__Marina_Beach_49723350.htm,3,2,140,140,1,,,Tétouan,Route de Ceuta,apartment,2024,11,avito,0,0,0,0,0,1,1,1,1,1
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_75_m²_à_Kénitra_55617285.htm,2,1,75,75,3,570000,,Kénitra,Autre secteur,apartment,2024,11,avito,1,1,0,0,1,1,0,0,1,0
https://www.avito.ma/fr/martil/appartements/appartement_en_vente__55543434.htm,3,2,75,75,2,600000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_89_m²_à_Martil_55735757.htm,3,1,95,89,5,590000,,Martil,Toute la ville,apartment,2024,11,avito,0,0,0,0,0,1,0,0,0,1
