url,n_bedrooms,n_bathrooms,total_area,living_area,floor,price,monthly_syndicate_price,city,neighborhood,type,year,month,source,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
https://www.avito.ma/fr/autre_secteur/appartements/TEM_TE_1005___Appartement_à_vendre_à_Centre_ville_55607541.htm,3,1,121,121,3,1400000,,Skhirat,Autre secteur,apartment,2024,12,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/dcheira/appartements/Appartement_à_vendre_96_m²_à_Dcheira_55655517.htm,2,1,96,96,2,750000,,Dcheira,Toute la ville,apartment,2024,12,avito,0,1,1,1,1,1,1,1,1,0
https://www.avito.ma/fr/route_jerada/appartements/Appartement__2_fassade_à_vendre_127_m²_à_Oujda_55224235.htm,3,2,,127,2,510000,,Oujda,Route Jerada,apartment,2024,12,avito,0,1,1,0,1,1,0,1,1,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Bel_appartement_2_chambres_à_vendre__54705766.htm,2,2,,76,1,9700000,,Casablanca,Sidi Maarouf,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_borja/appartements/à_Bd_Ibn_Tachfine_appartement_à_vendre__55552249.htm,2,2,,100,0,1000000,,Casablanca,Aïn Borja,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Superbe_appartement_2_chambres_à_vendre__54926841.htm,2,2,,82,3,940000,,Casablanca,Ain Sebaa,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_el_andalous/appartements/Appartement_à_vendre_100_m²_à_Oujda_54393617.htm,3,1,,100,1,470000,,Oujda,Hay El Andalous,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_à_vendre_75_m²_à_Oujda_54393190.htm,2,1,,75,1,360000,,Oujda,Hay zitoune,apartment,2024,12,avito,0,1,1,1,0,1,0,0,1,0
https://www.avito.ma/fr/mimosas/appartements/aparttement_avendre_85_M²_mimosa__55276996.htm,2,2,,85,1,730000,,Kénitra,Mimosas,apartment,2024,12,avito,1,1,0,1,0,0,0,1,0,0
https://www.avito.ma/fr/salé/appartements/Appartement_à_vendre_à_Salé_55263022.htm,2,2,86,81,2,820000,200,Salé,Toute la ville,apartment,2024,12,avito,1,1,0,0,1,1,0,1,1,1
https://www.avito.ma/fr/fnideq/appartements/Appartement_à_vendre_81_m²_à_Fnideq_55785544.htm,2,1,,81,3,750000,,Fnideq,Toute la ville,apartment,2024,12,avito,0,1,1,0,0,1,1,0,0,0
https://www.avito.ma/fr/allal_el_fassi/appartements/Une_appartement_de_vos_rêve__55889673.htm,3,2,126,123,1,1240000,150,Marrakech,Allal El Fassi,apartment,2024,12,avito,1,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_85_m²_à_Oujda_54489101.htm,2,1,,85,1,3700000,,Oujda,Centre Ville,apartment,2024,12,avito,0,0,1,1,0,0,0,0,1,0
https://www.avito.ma/fr/maarif/appartements/Superbe_appartement_à_vendre_à_maarif_extension__54826938.htm,2,2,,162,4,2100000,,Casablanca,Maarif,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/bourgogne/appartements/Appart_110m_Bourgogne_Proche_Mobilia__55260271.htm,2,2,110,110,5,1360000,,Casablanca,Bourgogne,apartment,2024,12,avito,1,1,0,0,1,0,0,1,0,0
https://www.avito.ma/fr/ain_sebaa/appartements/Studio_de_46m_à_ain_sebaa_52873292.htm,1,1,46,41,5,478500,150,Casablanca,Ain Sebaa,studio,2024,12,avito,1,0,0,0,1,1,0,1,1,0
https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_3_chambres_à_vendre_à_Bernoussi__54524968.htm,3,2,,92,1,1100000,,Casablanca,Sidi Bernoussi,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_à_vendre_64_m²_à_Agadir_55454973.htm,2,2,,64,1,,,Agadir,Hay Mohammadi,apartment,2024,12,avito,0,1,0,1,0,1,0,0,0,0
https://www.avito.ma/fr/wifak/appartements/Appartement_à_vendre_70_m²_à_wifak__51287636.htm,2,2,,70,3,800000,,Temara,Wifak,apartment,2024,12,avito,0,1,0,0,1,1,0,1,1,0
https://www.avito.ma/fr/sidi_yahya/appartements/Appartement_à_vendre_90_m²_à_Oujda_54904207.htm,3,2,,90,1,370000,,Oujda,Sidi Yahya,apartment,2024,12,avito,0,1,0,1,0,1,0,1,1,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_140_m²_à_Oujda_54393879.htm,4,2,,140,1,480000,,Oujda,Centre Ville,apartment,2024,12,avito,0,1,1,1,0,1,0,1,1,1
https://www.avito.ma/fr/val_fleuri/appartements/Bel_appartement_lumineux_à_vendre_à_Val_Fleuri_55825572.htm,2,1,130,88,5,2000000,300,Casablanca,Val Fleuri,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aharrarine/appartements/Merveilleux_appartement_à_vendre_à_Tanger_55728327.htm,3,2,,660000,3,660000,,Tanger,Aharrarine,apartment,2024,12,avito,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/asilah/appartements/asilah_Marina_golf_a_vendre_appartement__54451855.htm,2,2,77,77,0,1120000,,Asilah,Toute la ville,apartment,2024,12,avito,1,1,0,1,0,1,1,1,1,1
https://www.avito.ma/fr/val_fleuri/appartements/Appartement_à_vendre__55781857.htm,3,1,105,105,5,1300000,200,Tanger,Val Fleuri,apartment,2024,12,avito,1,0,1,1,1,1,0,1,1,0
https://www.avito.ma/fr/gauthier/appartements/Beau_studio_meublé_à_vendre_à_Gauthier__54710346.htm,1,1,,45,1,1350000,,Casablanca,Gauthier,studio,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_80_m²_à_Oujda_54392947.htm,2,1,,80,1,400000,,Oujda,Centre Ville,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/centre_ville/appartements/Appartement_à_vendre_85_m²_à_Oujda_54663434.htm,2,1,,85,1,380000,,Oujda,Centre Ville,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_à_vendre_86_m²_à_Oujda_54393319.htm,3,1,,86,1,380000,,Oujda,Hay zitoune,apartment,2024,12,avito,0,1,1,1,0,1,0,0,1,0
https://www.avito.ma/fr/beauséjour/appartements/Superbe_appartement_à_vendre_à_Beauséjour_54826943.htm,2,2,,103,2,1150000,,Casablanca,Beauséjour,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_essalam/appartements/Appartements_à_vendre_à_El_Jadida_54388254.htm,2,2,,78,1,650000,,El Jadida,Hay Essalam,apartment,2024,12,avito,1,1,0,0,1,1,0,1,1,0
https://www.avito.ma/fr/val_fleuri/appartements/Superbe_appartement_à_vente_à_val_fleury__55020514.htm,3,3,,142,3,2750000,,Casablanca,Val Fleuri,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/boustane/appartements/Appartement_à_vendre_106_m²_à_Oujda_54393198.htm,3,1,,106,1,470000,,Oujda,Boustane,apartment,2024,12,avito,0,0,1,1,0,1,0,0,1,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_80_m²_à_rue_de_rabat__55636097.htm,2,1,80,80,2,4500000,,Tanger,Autre secteur,apartment,2024,12,avito,1,1,0,0,0,1,0,1,1,0
https://www.avito.ma/fr/roches_noires/appartements/Appartement_à_vendre_72_m²_à_Casablanca_55366556.htm,2,2,,72,3,590000,30,Casablanca,Roches Noires,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/targa/appartements/vente_appartement__55901381.htm,2,1,50,50,0,400000,70,Marrakech,Targa,apartment,2024,12,avito,0,0,0,1,1,1,1,1,1,0
https://www.avito.ma/fr/dar_bouazza/appartements/Projet_AZUR__Dar_bouzza_55808626.htm,2,2,100,100,1,1500000,1,Dar Bouazza,Toute la ville,apartment,2024,12,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/californie/appartements/un_Rez_de_jardin_à_vendre_à_Californie__54483892.htm,2,2,,120,1,1470000,,Casablanca,Californie,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/racine/appartements/Appartement_à_vendre_134_m²_à_Casablanca_55596647.htm,3,3,,134,4,3850000,,Casablanca,Racine,apartment,2024,12,avito,1,0,0,1,0,1,1,1,1,1
https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Superbe_appartement_à_vendre_à_bd_Abdelmoumen_54508314.htm,3,2,,116,1,1480000,,Casablanca,Quartier des Hôpitaux,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/ville_verte/appartements/Superbe_appartement_à_vendre_au_Bouskoura_55635975.htm,3,2,,134,1,2700000,,Bouskoura,Ville verte,apartment,2024,12,avito,1,1,0,0,0,0,0,1,1,0
https://www.avito.ma/fr/bachkou/appartements/Appartement_à_vendre_125_m²_à_Bachkou_55793796.htm,3,2,,125,3,1920000,,Casablanca,Bachkou,apartment,2024,12,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/californie/appartements/à_Californie_joli_appartement_à_vendre_54926683.htm,2,2,,91,3,1680000,,Casablanca,Californie,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_lazaret/appartements/Appartement_à_vendre_75_m²_à_Oujda_55095473.htm,2,1,,75,1,370000,,Oujda,Hay Lazaret,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/saidia/appartements/شقة_فاخرة_للبيع_مدينة_السعيدية__55801442.htm,3,1,86,80,1,,,Saidia,Toute la ville,apartment,2024,12,avito,0,1,1,1,0,1,1,1,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/شقق_للبيع_86_m²_في_الدار_البيضاء_54036923.htm,2,1,86,86,2,820000,100,Casablanca,Sidi Maarouf,apartment,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/victoria/appartements/Appartement_à_vendre_79_m²_à_bouskoura_victoria_55872168.htm,2,2,79,79,1,632000,150,Bouskoura,Victoria,apartment,2024,12,avito,1,1,0,0,0,0,0,1,0,1
https://www.avito.ma/fr/marjane/appartements/Merveilleux_appartement_à_vendre__à_Tanger_55798156.htm,2,2,,111,2,1200000,,Tanger,Marjane,apartment,2024,12,avito,1,0,0,0,1,1,1,0,1,0
https://www.avito.ma/fr/hamria/appartements/Des_Appartement__113_m²_centre_hmria_الدعم_متوفر_55741823.htm,3,2,,113,1,790000,,Meknès,Hamria,apartment,2024,12,avito,1,1,0,0,1,1,0,1,0,0
https://www.avito.ma/fr/hay_zitoune/appartements/Appartement_à_vendre_100_m²_à_Oujda_54904183.htm,3,2,,100,1,430000,,Oujda,Hay zitoune,apartment,2024,12,avito,0,1,1,1,0,1,0,1,1,1
https://www.avito.ma/fr/ben_ejdia/appartements/apparemment_très_jolie__55901387.htm,2,1,100,100,2,,300,Casablanca,Ben Ejdia,apartment,2024,12,avito,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/abdelmoumen/appartements/Studios_à_vendre_Bd__Abdelmoumen_55030742.htm,1,1,,36,3,880000,,Casablanca,Abdelmoumen,studio,2024,12,avito,1,1,1,1,1,1,0,1,1,1
https://www.avito.ma/fr/casablanca_finance_city/appartements/Un_joli_Studio___vendre_59_m²_à_Cfc__55466467.htm,1,1,,59,4,1720000,,Casablanca,Casablanca Finance City,studio,2024,12,avito,1,0,0,0,0,1,1,1,1,1
https://www.avito.ma/fr/sidi_maarouf/appartements/appart_3ch_HSDG_a_rés_les_champs_2___55393148.htm,3,2,120,96,3,1200000,200,Casablanca,Sidi Maarouf,apartment,2024,12,avito,1,1,0,0,0,1,0,1,1,0
https://www.avito.ma/fr/la_gironde/appartements/Appartement_sans_vis_à_vis__à_vendre_55533563.htm,3,2,,124,0,1290000,,Casablanca,La Gironde,apartment,2024,12,avito,1,1,0,0,0,0,0,1,0,0
https://www.avito.ma/fr/casablanca_finance_city/appartements/Beau_studio_à_vendre_à_casa_finance_city_54677740.htm,1,1,,80,5,1600000,,Casablanca,Casablanca Finance City,studio,2024,12,avito,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/maarif/appartements/CMN_MA_1717___Appartement_à_vendre_à_Maârif_55581334.htm,1,1,46,46,4,950000,,Casablanca,Maarif,apartment,2024,12,avito,1,1,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/casablanca_finance_city/appartements/Splendide_appartement_sans_vis_à_vis_au_CFC_55565838.htm,3,2,,145,2,3100000,,Casablanca,Casablanca Finance City,apartment,2024,12,avito,1,0,0,0,0,0,0,1,1,0
https://www.avito.ma/fr/palmier/appartements/Studio_76m_Meublé_A_Palmier_55585708.htm,1,1,76,42,4,1200000,,Casablanca,Palmier,studio,2024,12,avito,1,1,0,1,1,1,1,1,0,1
