city,neighborhood,price,type,url,year,month,n_bedrooms,n_bathrooms,living_area,total_area,floor,syndicate_price_per_month,bool_security,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equiped_kitchen,bool_furniture,bool_parking,bool_terrace
Casablanca,Hopitaux,1750000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-hopitaux-CA001095,2024,11,2,1,101,126,5,,1,1,1,0,0,0,0,0,1,0
Casablanca,Lekrimat,1500000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-lekrimat-CI067647,2024,11,3,2,128,128,4,,0,0,1,0,0,0,1,0,0,0
Casablanca,Bourgogne (sidi belyout),2100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(sidi-belyout)-CA002544,2024,11,3,2,126,126,7,,0,1,1,0,0,0,0,0,1,1
Salé,Hay chmaou,690000,apartment,https://yakeey.com/fr-ma/acheter-appartement-sale-hay-chmaou-SI067053,2024,11,2,1,82,82,0,,0,0,0,0,0,0,0,0,1,1
Salé,Hay safae,750000,apartment,https://yakeey.com/fr-ma/acheter-appartement-sale-hay-safae-SI067739,2024,11,1,1,94,94,1,,0,0,0,0,0,0,1,0,0,0
Casablanca,Maarif,3900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA000311,2024,11,3,3,220,230,7,,1,1,0,0,1,1,1,0,0,0
Dar bouazza,Tamaris2,1950000,apartment,https://yakeey.com/fr-ma/acheter-appartement-dar-bouazza-tamaris2-DA000686,2024,11,2,2,103,124,2,,0,0,0,0,0,0,0,0,0,0
Casablanca,Gauthier,3000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA000601,2024,11,3,2,177,218,8,,1,1,1,0,0,1,0,0,1,0
Casablanca,Hopitaux,1800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-hopitaux-CI068492,2024,11,3,2,133,133,4,,0,1,1,0,0,0,1,0,0,0
Marrakech,Quartier industriel de sidi ghanem,1300000,apartment,https://yakeey.com/fr-ma/acheter-appartement-marrakech-quartier-industriel-de-sidi-ghanem-MI067587,2024,11,4,2,143,143,0,,1,1,0,0,0,0,0,0,1,0
Dar bouazza,Tamaris2,980000,apartment,https://yakeey.com/fr-ma/acheter-appartement-dar-bouazza-tamaris2-DA002581,2024,11,2,1,70,94,0,,1,0,1,0,0,0,1,0,1,0
Casablanca,Derb omar,1800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA001164,2024,11,3,2,133,133,6,250.0,1,1,1,0,0,0,1,1,1,1
Casablanca,Hopitaux,2600000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-hopitaux-CA001579,2024,11,3,2,159,171,3,,1,1,1,0,0,0,1,0,1,0
Casablanca,Nassim,1450000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-nassim-CA000806,2024,11,3,2,105,132,5,300.0,1,1,1,0,0,0,0,0,1,0
Casablanca,Sidi moumen,1250000,duplex/triplex,https://yakeey.com/fr-ma/acheter-duplex-casablanca-sidi-moumen-CD001034,2024,11,4,3,82,102,3,,0,0,0,0,0,0,1,0,1,0
Casablanca,Mandarouna,2160000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-mandarouna-CA000819,2024,11,3,2,144,144,0,400.0,1,1,0,0,1,0,1,0,1,0
Casablanca,Derb omar,1050000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-derb-omar-CA001115,2024,11,3,2,90,90,2,,1,1,0,0,0,0,0,0,1,0
Casablanca,Maarif,6800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA000820,2024,11,4,2,350,418,5,,0,1,1,0,0,1,1,0,1,0
Casablanca,Oulfa,590000,studio,https://yakeey.com/fr-ma/acheter-studio-casablanca-oulfa-CS003752,2024,11,1,1,62,62,0,100.0,0,0,0,0,0,0,1,0,1,1
Casablanca,Bourgogne (sidi belyout),2000000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(sidi-belyout)-CA002002,2024,11,3,2,125,145,5,,0,1,0,0,0,0,1,0,1,1
Casablanca,Liberte,1350000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-liberte-CA002604,2024,11,2,2,101,101,1,,1,1,1,0,0,0,1,0,1,1
Marrakech,Alal el fassi ,900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-marrakech-alal-el-fassi-MI067496,2024,11,3,2,115,115,3,,1,0,1,0,0,0,0,0,1,0
Casablanca,Palmier (maarif),2530000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-palmier-(maarif)-CA002431,2024,11,3,2,151,151,5,,1,1,0,0,0,0,1,0,1,0
Casablanca,Belvedere (roches noires),950000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-belvedere-(roches-noires)-CA002008,2024,11,2,1,103,103,9,200.0,0,1,1,0,0,1,1,0,0,0
